undefined;H50;facultyKatselmusUser nah;read&write
Alkeishiukkasfysiikan ja maailmankaikkeuden tutkimuksen tohtoriohjelma;T923101;facultyKatselmusUser nah;read
Geotieteiden tohtoriohjelma;T923102;facultyKatselmusUser nah;read
Ilmakehätieteiden tohtoriohjelma;T923103;facultyKatselmusUser nah;read
Kemian ja molekyylitutkimuksen tohtoriohjelma;T923104;facultyKatselmusUser nah;read
Matematiikan ja tilastotieteen tohtoriohjelma;T923105;facultyKatselmusUser nah;read
Materiaalitutkimuksen ja nanotieteiden tohtoriohjelma;T923106;facultyKatselmusUser nah;read
Tietojenkäsittelytieteen tohtoriohjelma;T923107;facultyKatselmusUser nah;read
Matemaattisten tieteiden kandiohjelma;KH50_001;facultyKatselmusUser nah;read
Fysikaalisten tieteiden kandiohjelma;KH50_002;facultyKatselmusUser nah;read
Kemian kandiohjelma;KH50_003;facultyKatselmusUser nah;read
Matematiikan, fysiikan ja kemian opettajan kandiohjelma;KH50_004;facultyKatselmusUser nah;read
Tietojenkäsittelytieteen kandiohjelma;KH50_005;facultyKatselmusUser nah;read
Geotieteiden kandiohjelma;KH50_006;facultyKatselmusUser nah;read&write
Maantieteen kandiohjelma;KH50_007;facultyKatselmusUser nah;read
Luonnontieteiden kandiohjelma;KH50_008;facultyKatselmusUser nah;read
Matematiikan ja tilastotieteen maisteriohjelma;MH50_001;facultyKatselmusUser nah;read
Life Science Informatics -maisteriohjelma;MH50_002;facultyKatselmusUser nah;read
Teoreettisten ja laskennallisten menetelmien maisteriohjelma;MH50_003;facultyKatselmusUser nah;read
Alkeishiukkasfysiikan ja astrofysikaalisten tieteiden maisteriohjelma;MH50_004;facultyKatselmusUser nah;read
Materiaalitutkimuksen maisteriohjelma;MH50_005;facultyKatselmusUser nah;read
Ilmakehätieteiden maisteriohjelma;MH50_006;facultyKatselmusUser nah;read
Kemian ja molekyylitieteiden maisteriohjelma;MH50_007;facultyKatselmusUser nah;read
Matematiikan, fysiikan ja kemian opettajan maisteriohjelma;MH50_008;facultyKatselmusUser nah;read
Tietojenkäsittelytieteen maisteriohjelma;MH50_009;facultyKatselmusUser nah;read
Datatieteen maisteriohjelma;MH50_010;facultyKatselmusUser nah;read
